freq,purchase,unit,geo\TIME_PERIOD	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,DW_EXST,RCH_A_AVG,SK	: 	: 	: 	: 	: 	: 	-1.0 	-1.6 	1.3 	1.3 	6.4 	7.0 	5.4 	8.1 	11.0 	10.6 	7.5 	12.1 	0.4 
A,DW_EXST,RCH_A_AVG,TR	: 	: 	: 	: 	: 	: 	8.6 	10.8 	11.4 	12.5 	16.0 	12.7 	11.0 	8.1 	4.1 	23.5 	35.7 	153.5 	97.5 
A,DW_EXST,RCH_A_AVG,UK	: 	8.0 	10.1 	-4.6 	-8.8 	6.1 	-1.7 	0.5 	2.5 	8.0 	6.0 	6.8 	4.5 	3.1 	1.0 	: 	: 	: 	: 
A,DW_NEW,I10_A_AVG,AT	: 	: 	: 	: 	: 	100.00 	105.21 	113.97 	119.47 	124.37 	131.30 	141.62 	145.05 	152.29 	161.37 	173.43 	187.92 	209.54 	208.94 
A,DW_NEW,I10_A_AVG,BE	90.04 	94.44 	98.66 	101.10 	100.02 	100.00 	103.92 	105.86 	109.82 	107.50 	112.37 	116.29 	121.26 	125.12 	128.98 	134.71 	143.17 	150.73 	153.86 
A,DW_NEW,I10_A_AVG,BG	68.68 e	78.77 e	101.56 e	126.90 e	111.97 e	100.00 	98.96 	98.69 	95.99 	98.73 	102.18 	108.73 	116.02 	122.66 	133.03 	135.91 	146.39 	162.27 b	176.29 
A,DW_NEW,I10_A_AVG,CY	: 	: 	: 	: 	: 	100.00 	97.36 	95.01 	91.21 	88.92 	87.68 b	88.23 	90.36 	92.58 	96.88 	96.51 	92.31 	95.09 	98.00 
A,DW_NEW,I10_A_AVG,CZ	: 	: 	: 	99.80 	103.10 	100.00 	98.50 	96.40 	96.40 	98.10 	102.90 	108.90 	124.10 	138.80 	149.70 	163.30 	193.40 	228.70 	225.50 
A,DW_NEW,I10_A_AVG,DE	89.30 	88.40 	90.20 	92.70 	97.70 	100.00 	105.10 	108.10 	109.40 	113.40 	119.60 	127.90 	133.70 	142.30 	147.00 	156.00 	167.50 	175.90 	171.60 
A,DW_NEW,I10_A_AVG,DK	78.28 	103.08 	117.32 	109.70 	101.35 	100.00 	112.60 	125.05 	198.01 	221.19 	247.02 	245.46 	247.03 	251.44 	253.25 	255.12 	265.51 	292.92 	305.73 
A,DW_NEW,I10_A_AVG,EA	: 	: 	: 	: 	: 	100.00 	100.29 	96.99 	95.63 	96.03 	98.40 	102.11 	105.76 	110.67 	115.46 	121.35 	128.85 	138.78 	143.35 
